"image name ('number of images in this post'_'post number'_'position of the image in this post'_'db name'_'whether image is bw'_'whether image is uploaded to instagram or before uploaded'_'whether image has been ""no modification"", ""resized"" or ""modified""'_'filter name'_'additional data')",instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)","Upload quality (original, resized)",account info,color or gray_scaled
2_01_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkI-_1JGcL/?igshid=v5q2ph43we48,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_01_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkI-_1JGcL/?igshid=v5q2ph43we48,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_02_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkJA6kp-bS/?igshid=12mputjzeszdg,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_02_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkJA6kp-bS/?igshid=12mputjzeszdg,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_03_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkJCgFpMkz/?igshid=1233llw48hif5,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_03_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkJCgFpMkz/?igshid=1233llw48hif5,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_04_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkJEnNp_iO/?igshid=ob9up6mvni5a,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_04_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkJEnNp_iO/?igshid=ob9up6mvni5a,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_05_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkJGDnJKBu/?igshid=sent9g8udlxn,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_05_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkJGDnJKBu/?igshid=sent9g8udlxn,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_06_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkJH6QJt8A/?igshid=1r3y3351x3zam,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_06_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkJH6QJt8A/?igshid=1r3y3351x3zam,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_07_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkJJGzJMW6/?igshid=lkp22howt2k9,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_07_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkJJGzJMW6/?igshid=lkp22howt2k9,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_08_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkJKS7pd7O/?igshid=1k2easjteeyso,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_08_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkJKS7pd7O/?igshid=1k2easjteeyso,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_09_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkJLesJHad/?igshid=18v1c30dkyxx0,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_09_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkJLesJHad/?igshid=18v1c30dkyxx0,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_10_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkJM7HJt-p/?igshid=1gi2xo8stz1y5,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_10_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkJM7HJt-p/?igshid=1gi2xo8stz1y5,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_01_1_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkI-_1JGcL/?igshid=v5q2ph43we48,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_01_2_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkI-_1JGcL/?igshid=v5q2ph43we48,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_02_1_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkJA6kp-bS/?igshid=12mputjzeszdg,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_02_2_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkJA6kp-bS/?igshid=12mputjzeszdg,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_03_1_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkJCgFpMkz/?igshid=1233llw48hif5,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_03_2_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkJCgFpMkz/?igshid=1233llw48hif5,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_04_1_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkJEnNp_iO/?igshid=ob9up6mvni5a,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_04_2_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkJEnNp_iO/?igshid=ob9up6mvni5a,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_05_1_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkJGDnJKBu/?igshid=sent9g8udlxn,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_05_2_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkJGDnJKBu/?igshid=sent9g8udlxn,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_06_1_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkJH6QJt8A/?igshid=1r3y3351x3zam,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_06_2_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkJH6QJt8A/?igshid=1r3y3351x3zam,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_07_1_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkJJGzJMW6/?igshid=lkp22howt2k9,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_07_2_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkJJGzJMW6/?igshid=lkp22howt2k9,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_08_1_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkJKS7pd7O/?igshid=1k2easjteeyso,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_08_2_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkJKS7pd7O/?igshid=1k2easjteeyso,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_09_1_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkJLesJHad/?igshid=18v1c30dkyxx0,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_09_2_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkJLesJHad/?igshid=18v1c30dkyxx0,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_10_1_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkJM7HJt-p/?igshid=1gi2xo8stz1y5,2,jpg,resized,islab_compressed_jpg,gray_scaled
2_10_2_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkJM7HJt-p/?igshid=1gi2xo8stz1y5,2,jpg,resized,islab_compressed_jpg,gray_scaled
