image name,instagram caption,instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)",enhancement,"Upload quality (original, resized)",account info,
1_01_1_fil_cr_ins_nmo_Wald,YJ 1_01_1_fil_cr_ins_nmo_Wald,https://www.instagram.com/p/CCnK29XFa5h/,1,jpg,Walden,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_1977,YJ 1_01_1_fil_cr_ins_nmo_1977,https://www.instagram.com/p/CCnLB4Hl_u0/,1,jpg,1977,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Kelv,YJ 1_01_1_fil_cr_ins_nmo_Kelv,https://www.instagram.com/p/CCnLHiUl5Nz/,1,jpg,Kelvin,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Mave,YJ 1_01_1_fil_cr_ins_nmo_Mave,https://www.instagram.com/p/CCnLPf-FVgr/,1,jpg,Maven,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Ginz,YJ 1_01_1_fil_cr_ins_nmo_Ginz,https://www.instagram.com/p/CCnLWD5lcJe/,1,jpg,Ginza,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Skyl,YJ 1_01_1_fil_cr_ins_nmo_Skyl,https://www.instagram.com/p/CCnLd2plIkp/,1,jpg,Skyline,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Dogp,YJ 1_01_1_fil_cr_ins_nmo_Dogp,https://www.instagram.com/p/CCnLlz-lwCk/,1,jpg,Dogpatch,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Broo,YJ 1_01_1_fil_cr_ins_nmo_Broo,https://www.instagram.com/p/CCnLtACl_Mk/,1,jpg,Brooklyn,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Hele,YJ 1_01_1_fil_cr_ins_nmo_Hele,https://www.instagram.com/p/CCnLzH2lXO-/,1,jpg,Helena,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Ashb,YJ 1_01_1_fil_cr_ins_nmo_Ashb,https://www.instagram.com/p/CCnL6pMFtzO/,1,jpg,Ashby,original,iaslab_enhanced,
1_01_1_fil_cr_ins_nmo_Char,YJ 1_01_1_fil_cr_ins_nmo_Char,https://www.instagram.com/p/CCnMCHvllFD/,1,jpg,Charmes,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_nfit,YJ 1_02_1_fil_cr_ins_nmo_nfit,https://www.instagram.com/p/CCnMSWzlhTv/,1,jpg,nfit,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Clar,YJ 1_02_1_fil_cr_ins_nmo_Clar,https://www.instagram.com/p/CCnNbXzlryG/,1,jpg,Clarendon,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Ging,YJ 1_02_1_fil_cr_ins_nmo_Ging,https://www.instagram.com/p/CCnNmrllIHe/,1,jpg,Gingham,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Moon,YJ 1_02_1_fil_cr_ins_nmo_Moon,https://www.instagram.com/p/CCnNuBKlh95/,1,jpg,Moon,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Lark,YJ 1_02_1_fil_cr_ins_nmo_Lark,https://www.instagram.com/p/CCnNzerFmXd/,1,jpg,Lark,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Reye,YJ 1_02_1_fil_cr_ins_nmo_Reye,https://www.instagram.com/p/CCnN6FlFD6H/,1,jpg,Reyes,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Juno,YJ 1_02_1_fil_cr_ins_nmo_Juno,https://www.instagram.com/p/CCpT2yhF8Qu/,1,jpg,Juno,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Slum,YJ 1_02_1_fil_cr_ins_nmo_Slum,https://www.instagram.com/p/CCpUAWZlGFh/,1,jpg,Slumber,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Crem,YJ 1_02_1_fil_cr_ins_nmo_Crem,https://www.instagram.com/p/CCpUGR4FlYz/,1,jpg,Crema,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Ludw,YJ 1_02_1_fil_cr_ins_nmo_Ludw,https://www.instagram.com/p/CCpUM1MFgQX/,1,jpg,Ludwig,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Aden,YJ 1_02_1_fil_cr_ins_nmo_Aden,https://www.instagram.com/p/CCpUVKhljP0/,1,jpg,Aden,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Perp,YJ 1_02_1_fil_cr_ins_nmo_Perp,https://www.instagram.com/p/CCpUbeiF4nI/,1,jpg,Perpetua,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Amar,YJ 1_02_1_fil_cr_ins_nmo_Amar,https://www.instagram.com/p/CCpUhMCFKn1/,1,jpg,Amaro,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Mayf,YJ 1_02_1_fil_cr_ins_nmo_Mayf,https://www.instagram.com/p/CCpUofmlu17/,1,jpg,Mayfair,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Rise,YJ 1_02_1_fil_cr_ins_nmo_Rise,https://www.instagram.com/p/CCpUtHvFSLM/,1,jpg,Rise,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Huds,YJ 1_02_1_fil_cr_ins_nmo_Huds,https://www.instagram.com/p/CCpUzoFlYVU/,1,jpg,Hudson,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Vale,YJ 1_02_1_fil_cr_ins_nmo_Vale,https://www.instagram.com/p/CCpU71ylGnM/,1,jpg,Valencia,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_X-Pr,YJ 1_02_1_fil_cr_ins_nmo_X-Pr,https://www.instagram.com/p/CCpVCpll4_o/,1,jpg,X-Pro II,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Sier,YJ 1_02_1_fil_cr_ins_nmo_Sier,https://www.instagram.com/p/CCpVJF_FiZ4/,1,jpg,Sierra,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Will,YJ 1_02_1_fil_cr_ins_nmo_Will,https://www.instagram.com/p/CCpVSE9Fkx7/,1,jpg,Willow,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Lo-F,YJ 1_02_1_fil_cr_ins_nmo_Lo-F,https://www.instagram.com/p/CCpVXrOly6u/,1,jpg,Lo-Fi,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Inkw,YJ 1_02_1_fil_cr_ins_nmo_Inkw,https://www.instagram.com/p/CCpVdfplcl5/,1,jpg,Inkwell,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Hefe,YJ 1_02_1_fil_cr_ins_nmo_Hefe,https://www.instagram.com/p/CCpVnLJlq3m/,1,jpg,Hefe,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Nash,YJ 1_02_1_fil_cr_ins_nmo_Nash,https://www.instagram.com/p/CCpVuPEF4It/,1,jpg,Nashville,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Stin,YJ 1_02_1_fil_cr_ins_nmo_Stin,https://www.instagram.com/p/CCpV1QVlTNs/,1,jpg,Stinson,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Vesp,YJ 1_02_1_fil_cr_ins_nmo_Vesp,https://www.instagram.com/p/CCpV6iDFLdh/,1,jpg,Vesper,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Earl,YJ 1_02_1_fil_cr_ins_nmo_Earl,https://www.instagram.com/p/CCpV_aVlPf8/,1,jpg,Earlybird,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Bran,YJ 1_02_1_fil_cr_ins_nmo_Bran,https://www.instagram.com/p/CCpWElmFA7X/,1,jpg,Brannan,original,iaslab_enhanced,
