"image name ('number of images in this post'_'post number'_'position of the image in this post'_'db name'_'whether image is bw'_'whether image is uploaded to instagram or before uploaded'_'whether image has been ""no modification"", ""resized"" or ""modified""'_'filter name'_'additional data')",instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)","Upload quality (original, resized)",account info,color or gray_scaled
1_01_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkGvwbJLrq/?igshid=zs7uoyu3a2c,1,jpg,resized,islab_compressed_jpg,gray_scaled
1_02_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkG5k-p1et/?igshid=1kegxkhcbr99n,1,jpg,resized,islab_compressed_jpg,gray_scaled
1_03_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkG6xPp0cW/?igshid=1kl3fclydyypp,1,jpg,resized,islab_compressed_jpg,gray_scaled
1_04_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkG8XPJBB1/?igshid=8r0j7czo79o0,1,jpg,resized,islab_compressed_jpg,gray_scaled
1_05_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkG_2qpaep/?igshid=1c2rzidbs46yn,1,jpg,resized,islab_compressed_jpg,gray_scaled
1_06_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkHBZQJCA5/?igshid=88vl1oimxnbn,1,jpg,resized,islab_compressed_jpg,gray_scaled
1_07_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkHC1Lpmhx/?igshid=4h7n3la9djd8,1,jpg,resized,islab_compressed_jpg,gray_scaled
1_08_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkHEhtp7te/?igshid=1ot85a0sijar,1,jpg,resized,islab_compressed_jpg,gray_scaled
1_09_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkHGGCpb4v/?igshid=1lgu0jpu0o764,1,jpg,resized,islab_compressed_jpg,gray_scaled
1_10_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkHH-lpmcQ/?igshid=7b7vqq78pf1l,1,jpg,resized,islab_compressed_jpg,gray_scaled
