"image name ('number of images in this post'_'post number'_'position of the image in this post'_'db name'_'whether image is bw'_'whether image is uploaded to instagram or before uploaded'_'whether image has been ""no modification"", ""resized"" or ""modified""'_'filter name'_'additional data')",instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)","Upload quality (original, resized)",account info,color or gray_scaled
4_01_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkN-SIJkbF/?igshid=y3bxex3t53gx,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_01_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkN-SIJkbF/?igshid=y3bxex3t53gx,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_01_3_com_bw_org_res_nfit,https://www.instagram.com/p/CCkN-SIJkbF/?igshid=y3bxex3t53gx,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_01_4_com_bw_org_res_nfit,https://www.instagram.com/p/CCkN-SIJkbF/?igshid=y3bxex3t53gx,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_02_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOAgxJb2r/?igshid=1pvz3wvjkssi9,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_02_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOAgxJb2r/?igshid=1pvz3wvjkssi9,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_02_3_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOAgxJb2r/?igshid=1pvz3wvjkssi9,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_02_4_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOAgxJb2r/?igshid=1pvz3wvjkssi9,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_03_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOCXqJWZs/?igshid=chzkrr24qija,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_03_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOCXqJWZs/?igshid=chzkrr24qija,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_03_3_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOCXqJWZs/?igshid=chzkrr24qija,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_03_4_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOCXqJWZs/?igshid=chzkrr24qija,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_04_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOEHcpkik/?igshid=z7wy42fzlh9d,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_04_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOEHcpkik/?igshid=z7wy42fzlh9d,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_04_3_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOEHcpkik/?igshid=z7wy42fzlh9d,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_04_4_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOEHcpkik/?igshid=z7wy42fzlh9d,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_05_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOHCkpeMv/?igshid=yl2tttagklw0,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_05_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOHCkpeMv/?igshid=yl2tttagklw0,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_05_3_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOHCkpeMv/?igshid=yl2tttagklw0,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_05_4_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOHCkpeMv/?igshid=yl2tttagklw0,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_06_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOJKAJ14v/?igshid=1okw7js4b8f08,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_06_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOJKAJ14v/?igshid=1okw7js4b8f08,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_06_3_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOJKAJ14v/?igshid=1okw7js4b8f08,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_06_4_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOJKAJ14v/?igshid=1okw7js4b8f08,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_07_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOPZyJiXf/?igshid=1q89gaxzkdnne,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_07_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOPZyJiXf/?igshid=1q89gaxzkdnne,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_07_3_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOPZyJiXf/?igshid=1q89gaxzkdnne,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_07_4_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOPZyJiXf/?igshid=1q89gaxzkdnne,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_08_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOSqxJJXC/?igshid=19j5hj16vq5ee,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_08_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOSqxJJXC/?igshid=19j5hj16vq5ee,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_08_3_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOSqxJJXC/?igshid=19j5hj16vq5ee,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_08_4_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOSqxJJXC/?igshid=19j5hj16vq5ee,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_09_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOWG_JECW/?igshid=10btwolm1nd00,4,jpg,resized,islab_compressed_jpg,gray_scaled
4_09_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkOWG_JECW/?igshid=10btwolm1nd00,4,jpg,resized,islab_compressed_jpg,gray_scaled
