"image name ('number of images in this post'_'post number'_'position of the image in this post'_'db name'_'whether image is bw'_'whether image is uploaded to instagram or before uploaded'_'whether image has been ""no modification"", ""resized"" or ""modified""'_'filter name'_'additional data')",instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)","Upload quality (original, resized)",account info,color or gray_scaled
5_01_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkQPMZJOki/?igshid=h3gb1xp11jbu,5,jpg,resized,islab_compressed_jpg,gray_scaled
5_01_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkQPMZJOki/?igshid=h3gb1xp11jbu,5,jpg,resized,islab_compressed_jpg,gray_scaled
5_01_3_com_bw_org_res_nfit,https://www.instagram.com/p/CCkQPMZJOki/?igshid=h3gb1xp11jbu,5,jpg,resized,islab_compressed_jpg,gray_scaled
5_01_4_com_bw_org_res_nfit,https://www.instagram.com/p/CCkQPMZJOki/?igshid=h3gb1xp11jbu,5,jpg,resized,islab_compressed_jpg,gray_scaled
5_01_5_com_bw_org_res_nfit,https://www.instagram.com/p/CCkQPMZJOki/?igshid=h3gb1xp11jbu,5,jpg,resized,islab_compressed_jpg,gray_scaled
5_02_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkQSZPpKwT/?igshid=s5hma02db4ou,5,jpg,resized,islab_compressed_jpg,gray_scaled
5_02_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkQSZPpKwT/?igshid=s5hma02db4ou,5,jpg,resized,islab_compressed_jpg,gray_scaled
5_02_3_com_bw_org_res_nfit,https://www.instagram.com/p/CCkQSZPpKwT/?igshid=s5hma02db4ou,5,jpg,resized,islab_compressed_jpg,gray_scaled
5_02_4_com_bw_org_res_nfit,https://www.instagram.com/p/CCkQSZPpKwT/?igshid=s5hma02db4ou,5,jpg,resized,islab_compressed_jpg,gray_scaled
5_02_5_com_bw_org_res_nfit,https://www.instagram.com/p/CCkQSZPpKwT/?igshid=s5hma02db4ou,5,jpg,resized,islab_compressed_jpg,gray_scaled
5_03_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkQUZ7pEqb/?igshid=1gckr401na2oa,5,jpg,resized,islab_compressed_jpg,gray_scaled
5_03_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkQUZ7pEqb/?igshid=1gckr401na2oa,5,jpg,resized,islab_compressed_jpg,gray_scaled
5_03_3_com_bw_org_res_nfit,https://www.instagram.com/p/CCkQUZ7pEqb/?igshid=1gckr401na2oa,5,jpg,resized,islab_compressed_jpg,gray_scaled
5_03_4_com_bw_org_res_nfit,https://www.instagram.com/p/CCkQUZ7pEqb/?igshid=1gckr401na2oa,5,jpg,resized,islab_compressed_jpg,gray_scaled
5_03_5_com_bw_org_res_nfit,https://www.instagram.com/p/CCkQUZ7pEqb/?igshid=1gckr401na2oa,5,jpg,resized,islab_compressed_jpg,gray_scaled
5_04_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkQWzmJh4r/?igshid=9ftx8kngw342,5,jpg,resized,islab_compressed_jpg,gray_scaled
5_04_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkQWzmJh4r/?igshid=9ftx8kngw342,5,jpg,resized,islab_compressed_jpg,gray_scaled
