"image name ('number of images in this post'_'post number'_'position of the image in this post'_'db name'_'whether image is bw'_'whether image is uploaded to instagram or before uploaded'_'whether image has been ""no modification"", ""resized"" or ""modified""'_'filter name'_'additional data')",instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)","Upload quality (original, resized)",account info,color or gray_scaled
6_01_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkZ0fsp89C/?igshid=i11ijc1v34nk,6,jpg,resized,islab_compressed_jpg,gray_scaled
6_01_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkZ0fsp89C/?igshid=i11ijc1v34nk,6,jpg,resized,islab_compressed_jpg,gray_scaled
6_01_3_com_bw_org_res_nfit,https://www.instagram.com/p/CCkZ0fsp89C/?igshid=i11ijc1v34nk,6,jpg,resized,islab_compressed_jpg,gray_scaled
6_01_4_com_bw_org_res_nfit,https://www.instagram.com/p/CCkZ0fsp89C/?igshid=i11ijc1v34nk,6,jpg,resized,islab_compressed_jpg,gray_scaled
6_01_5_com_bw_org_res_nfit,https://www.instagram.com/p/CCkZ0fsp89C/?igshid=i11ijc1v34nk,6,jpg,resized,islab_compressed_jpg,gray_scaled
6_01_6_com_bw_org_res_nfit,https://www.instagram.com/p/CCkZ0fsp89C/?igshid=i11ijc1v34nk,6,jpg,resized,islab_compressed_jpg,gray_scaled
6_02_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkZ3JypBze/?igshid=1cglbowd1uexd,6,jpg,resized,islab_compressed_jpg,gray_scaled
6_02_2_com_bw_org_res_nfit,https://www.instagram.com/p/CCkZ3JypBze/?igshid=1cglbowd1uexd,6,jpg,resized,islab_compressed_jpg,gray_scaled
6_02_3_com_bw_org_res_nfit,https://www.instagram.com/p/CCkZ3JypBze/?igshid=1cglbowd1uexd,6,jpg,resized,islab_compressed_jpg,gray_scaled
6_02_4_com_bw_org_res_nfit,https://www.instagram.com/p/CCkZ3JypBze/?igshid=1cglbowd1uexd,6,jpg,resized,islab_compressed_jpg,gray_scaled
6_02_5_com_bw_org_res_nfit,https://www.instagram.com/p/CCkZ3JypBze/?igshid=1cglbowd1uexd,6,jpg,resized,islab_compressed_jpg,gray_scaled
6_02_6_com_bw_org_res_nfit,https://www.instagram.com/p/CCkZ3JypBze/?igshid=1cglbowd1uexd,6,jpg,resized,islab_compressed_jpg,gray_scaled
6_03_1_com_bw_org_res_nfit,https://www.instagram.com/p/CCkZ77Npzh2/?igshid=odwy5f57vn6t,6,jpg,resized,islab_compressed_jpg,gray_scaled
